#separator:tab
#html:true
#columns:Front	Back
<ruby>行く<rt>いく</rt></ruby>	いきます<br>いかない<br>いって／た<br>いけます<br>いこう<br>Go; 学校に行きます。(I go to school.)
<ruby>帰る<rt>かえる</rt></ruby>	かえります<br>かえらない<br>かえって／た<br>かえれます<br>かえろう<br>Go back; 家に帰ります。(I go back home.)
<ruby>聞く<rt>きく</rt></ruby>	ききます<br>きかない<br>きいて／た<br>きけます<br>きこう<br>Listen; 音楽を聞きます。(I listen to music.)
<ruby>飲む<rt>のむ</rt></ruby>	のみます<br>のまない<br>のんで／た<br>のめます<br>のもう<br>Drink; 水を飲みます。(I drink water.)
<ruby>話す<rt>はなす</rt></ruby>	はなします<br>はなさない<br>はなして／た<br>はなせます<br>はなそう<br>Speak; 日本語を話します。(I speak Japanese.)
<ruby>読む<rt>よむ</rt></ruby>	よみます<br>よまない<br>よんで／た<br>よめます<br>よもう<br>Read; 本を読みます。(I read a book.)
<ruby>会う<rt>あう</rt></ruby>	あいます<br>あわない<br>あって／た<br>あえます<br>あおう<br>Meet; 友達に会います。(I meet a friend.)
<ruby>書く<rt>かく</rt></ruby>	かきます<br>かかない<br>かいて／た<br>かけます<br>かこう<br>Write; 手紙を書きます。(I write a letter.)
<ruby>買う<rt>かう</rt></ruby>	かいます<br>かわない<br>かって／た<br>かえます<br>かおう<br>Buy; 服を買います。(I buy clothes.)
<ruby>取る<rt>とる</rt></ruby>	とります<br>とらない<br>とって／た<br>とれます<br>とろう<br>Take; メモを取ります。(I take notes.)
<ruby>待つ<rt>まつ</rt></ruby>	まちます<br>またない<br>まって／た<br>まてます<br>まとう<br>Wait; バスを待ちます。(I wait for the bus.)
<ruby>分かる<rt>わかる</rt></ruby>	わかります<br>わからない<br>わかって／た<br>×<br>×<br>Understand; 日本語が分かります。(I understand Japanese.)
<ruby>泳ぐ<rt>およぐ</rt></ruby>	およぎます<br>およがない<br>およいで／た<br>およげます<br>およごう<br>Swim; プールで泳ぎます。(I swim in the pool.)
<ruby>聞く<rt>きく</rt></ruby>	ききます<br>きかない<br>きいて／た<br>きけます<br>きこう<br>Ask; 道を聞きます。(I ask for directions.)
<ruby>乗る<rt>のる</rt></ruby>	のります<br>のらない<br>のって／た<br>のれます<br>のろう<br>Ride/Get on; 電車に乗ります。(I get on the train.)
<ruby>歌う<rt>うたう</rt></ruby>	うたいます<br>うたわない<br>うたって／た<br>うたえます<br>うたおう<br>Sing; カラオケで歌います。(I sing at karaoke.)
